0 60 on 65
0 60 on 68
0 60 not on 66
0 60 not on 67
0 60 not on 69
0 60 not on 70
0 65 not on 60
0 65 not on 66
0 65 not on 67
0 65 not on 68
0 65 not on 69
0 65 not on 70
0 66 on 67
0 66 not on 60
0 66 not on 65
0 66 not on 68
0 66 not on 69
0 66 not on 70
0 67 not on 60
0 67 not on 65
0 67 not on 66
0 67 not on 68
0 67 not on 69
0 67 not on 70
0 68 on 69
0 68 not on 60
0 68 not on 65
0 68 not on 66
0 68 not on 67
0 68 not on 70
0 69 on 70
0 69 not on 60
0 69 not on 65
0 69 not on 66
0 69 not on 67
0 69 not on 68
0 70 not on 60
0 70 not on 65
0 70 not on 66
0 70 not on 67
0 70 not on 68
0 70 not on 69
0 60 not clear
0 65 clear
0 66 not clear
0 67 clear
0 68 not clear
0 69 not clear
0 70 clear
0 60 upright
0 65 upright
0 66 upright
0 67 upright
0 68 upright
0 69 upright
0 70 upright
0 60 not close 65
0 60 not close 66
0 60 not close 67
0 60 not close 68
0 60 not close 69
0 60 not close 70
0 65 close 68
0 65 not close 60
0 65 not close 66
0 65 not close 67
0 65 not close 69
0 65 not close 70
0 66 not close 60
0 66 not close 65
0 66 not close 67
0 66 not close 68
0 66 not close 69
0 66 not close 70
0 67 not close 60
0 67 not close 65
0 67 not close 66
0 67 not close 68
0 67 not close 69
0 67 not close 70
0 68 close 65
0 68 not close 60
0 68 not close 66
0 68 not close 67
0 68 not close 69
0 68 not close 70
0 69 not close 60
0 69 not close 65
0 69 not close 66
0 69 not close 67
0 69 not close 68
0 69 not close 70
0 70 not close 60
0 70 not close 65
0 70 not close 66
0 70 not close 67
0 70 not close 68
0 70 not close 69
1 60 on 65
1 60 not on 66
1 60 not on 67
1 60 not on 68
1 60 not on 69
1 60 not on 70
1 65 not on 60
1 65 not on 66
1 65 not on 67
1 65 not on 68
1 65 not on 69
1 65 not on 70
1 66 on 67
1 66 not on 60
1 66 not on 65
1 66 not on 68
1 66 not on 69
1 66 not on 70
1 67 not on 60
1 67 not on 65
1 67 not on 66
1 67 not on 68
1 67 not on 69
1 67 not on 70
1 68 not on 60
1 68 not on 65
1 68 not on 66
1 68 not on 67
1 68 not on 69
1 68 not on 70
1 69 not on 60
1 69 not on 65
1 69 not on 66
1 69 not on 67
1 69 not on 68
1 69 not on 70
1 70 not on 60
1 70 not on 65
1 70 not on 66
1 70 not on 67
1 70 not on 68
1 70 not on 69
1 60 not clear
1 65 clear
1 66 not clear
1 67 clear
1 68 clear
1 69 clear
1 70 clear
1 60 upright
1 65 upright
1 66 upright
1 67 upright
1 68 not upright
1 69 upright
1 70 upright
1 60 not close 65
1 60 not close 66
1 60 not close 67
1 60 not close 68
1 60 not close 69
