# Switches:
# -mode              = UTREE_VALUE
# -sample            = UNIFORM
# -nEp               = 1000
# -minTran           = 10
# -maxTran           = 12
# -e                 = 0
# -d                 = 0.5
# -minTrain          = 10
# -maxTrain          = 100
# -minTree           = 1000
# -maxTree           = 10000
# -f                 = 2
# -l1                = 0.0002
# -pruneTree         = 1
# -kWidth            = 0
# -incr              = 10
# -exp               = 0
# -printSamples      = 0
# -optTran           = 0
# -fincr             = 0
# -dl                = 0.001
# -tderr             = 0.0001
# -l1incr            = 0.0001
# -maxl1             = 0.001
# 
# Maze size: 2x2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# 
# 
# 
# 
# Episode	training_length	transition_length	episode_mean_reward
# 
1	10	12	0
2	20	12	0
5	50	12	0
3	30	12	0
11	10	12	0
4	40	12	0.0833333
12	20	12	0
7	70	12	0
13	30	12	0.0833333
14	40	12	0.0833333
9	90	12	0
10	100	12	0.0833333
17	70	12	0
21	10	12	0.0833333
22	20	12	0
15	50	12	0.0833333
16	60	12	0.166667
25	50	12	0
6	60	12	0
23	30	12	0
28	80	12	0.0833333
24	40	12	0.166667
18	80	12	0.0833333
31	10	12	0.0833333
32	20	12	0
8	80	12	0
33	30	12	0
20	100	12	0
27	70	12	0.25
19	90	12	0.25
37	70	12	0.0833333
26	60	12	0.0833333
34	40	12	0.0833333
41	10	12	0.0833333
39	90	12	0.0833333
38	80	12	0.0833333
43	30	12	0
44	40	12	0
45	50	12	0
42	20	12	0
30	100	12	0.166667
35	50	12	0.25
40	100	12	0.0833333
29	90	12	0
51	10	12	0
52	20	12	0.0833333
54	40	12	0
55	50	12	0
53	30	12	0
47	70	12	0
57	70	12	0.0833333
46	60	12	0
59	90	12	0
36	60	12	0.0833333
61	10	12	0.0833333
56	60	12	0
60	100	12	0.0833333
65	50	12	0
62	20	12	0
63	30	12	0.0833333
48	80	12	0.25
64	40	12	0.0833333
49	90	12	0.0833333
71	10	12	0.0833333
50	100	12	0.25
72	20	12	0.166667
74	40	12	0
66	60	12	0.25
73	30	12	0.25
76	60	12	0.0833333
67	70	12	0.25
68	80	12	0.166667
75	50	12	0
81	10	12	0
78	80	12	0.0833333
83	30	12	0.0833333
82	20	12	0
84	40	12	0
86	60	12	0
85	50	12	0.0833333
77	70	12	0.0833333
88	80	12	0.0833333
58	80	12	0
91	10	12	0
92	20	12	0
93	30	12	0
70	100	12	0.25
79	90	12	0.25
94	40	12	0.0833333
87	70	12	0.25
80	100	12	0.25
69	90	12	0.0833333
99	90	12	0
101	10	12	0
95	50	12	0.25
103	30	12	0
102	20	12	0
89	90	12	0.25
106	60	12	0
105	50	12	0.0833333
96	60	12	0.0833333
107	70	12	0
98	80	12	0.0833333
111	10	12	0
104	40	12	0.0833333
112	20	12	0
90	100	12	0.25
113	30	12	0.0833333
114	40	12	0.0833333
97	70	12	0.0833333
115	50	12	0
108	80	12	0.0833333
100	100	12	0.25
116	60	12	0.25
121	10	12	0
123	30	12	0
122	20	12	0
125	50	12	0.0833333
