# Switches:
# -mode              = SPARSE
# -sample            = UNIFORM
# -maxTran           = 22
# -e                 = 0
# -d                 = 0.5
# -maxTree           = 50000
# -f                 = 2
# -l1                = 0.0001
# -pruneTree         = 1
# -optTran           = 0
#
# Maze size: 4x4
#
# Reward 0
#     ACTIVATION_STATE :  0
#     RECEIVE_STATE    :  8
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 1
#     ACTIVATION_STATE :  8
#     RECEIVE_STATE    : 13
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 2
#     ACTIVATION_STATE :  9
#     RECEIVE_STATE    : 12
#     TIME_DELAY       : 3
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 3
#     ACTIVATION_STATE : 12
#     RECEIVE_STATE    : 14
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 4
#     ACTIVATION_STATE : 13
#     RECEIVE_STATE    : 15
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 5
#     ACTIVATION_STATE : 11
#     RECEIVE_STATE    :  6
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 6
#     ACTIVATION_STATE : 10
#     RECEIVE_STATE    :  5
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 7
#     ACTIVATION_STATE :  5
#     RECEIVE_STATE    :  2
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 8
#     ACTIVATION_STATE :  1
#     RECEIVE_STATE    :  3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
# Reward 9
#     ACTIVATION_STATE :  2
#     RECEIVE_STATE    :  0
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME_NO_PUNISH
#
# Wall 0: (5|9)
# Wall 1: (12|13)
# Wall 2: (11|15)
# Wall 3: (5|1)
# Wall 4: (5|4)
# Wall 5: (2|6)
# Wall 6: (3|7)
# Wall 7: (9|10)
# Wall 8: (10|14)
#
# Door ((0,3)/(1,3))
#     key : (1,3) : DOWN_BUTTON
#     dt : -2
# Door ((3,3)/(3,2))
#     key : (3,3) : RIGHT_BUTTON
#     dt : -2
# Door ((1,1)/(1,0))
#     key : (1,1) : DOWN_BUTTON
#     dt : -2
#
#
# Episode	training_length	transition_length	search_tree_size	feature_n	utree_size	episode_mean_reward

# -f                 = 2
# -l1                = 0.0001

1 	5000	22	50000	685	0	0.227273
2 	10000	22	50000	638	0	0.181818
3 	15000	22	50000	659	0	0.181818
#
1 	5000	22	50000	668	0	0.0454545
2 	10000	22	50000	655	0	0.0909091
3 	15000	22	50000	655	0	0.181818
5 	5000	22	50000	681	0	0.0454545
6 	10000	22	50000	691	0	0
4 	20000	22	50000	634	0	0.0909091
9 	5000	22	50000	648	0	0.181818
7 	15000	22	50000	665	0	0.181818
10 	10000	22	50000	656	0	0.227273
8 	20000	22	50000	672	0	0.272727
13 	5000	22	50000	639	0	0.318182

# -f                 = 3
# -l1                = 0.0001

1 	2000	22	50000	4530	0	0.363636
7 	4000	22	50000	4018	0	0.272727
6 	2000	22	50000	4212	0	0.409091
2 	4000	22	50000	4097	0	0.272727
3 	6000	22	50000	4282	0	0.318182
4 	8000	22	50000	3734	0	0.363636
8 	6000	22	50000	4586	0	0.227273
5 	10000	22	50000	4178	0	0.409091
12 	4000	22	50000	3366	0	0.409091
9 	8000	22	50000	4319	0	0.409091
13 	6000	22	50000	4434	0	0.272727
10 	10000	22	50000	3574	0	0.409091
14 	8000	22	50000	3453	0	0.272727
11 	2000	22	50000	4712	0	0.272727
16 	2000	22	50000	3441	0	0.227273
17 	4000	22	50000	4644	0	0.409091
15 	10000	22	50000	4170	0	0.409091
18 	6000	22	50000	3873	0	0.363636
21 	2000	22	50000	4981	0	0.272727
22 	4000	22	50000	3408	0	0.363636
23 	6000	22	50000	3843	0	0.363636
19 	8000	22	50000	4557	0	0.454545
20 	10000	22	50000	4127	0	0.409091
26 	2000	22	50000	3850	0	0.272727
24 	8000	22	50000	3464	0	0.181818
27 	4000	22	50000	3880	0	0.363636
25 	10000	22	50000	3776	0	0.318182
28 	6000	22	50000	4829	0	0.454545
31 	2000	22	50000	4961	0	0.363636
29 	8000	22	50000	4492	0	0.454545
32 	4000	22	50000	4727	0	0.363636
37 	4000	22	50000	4096	0	0.318182
36 	2000	22	50000	3849	0	0.363636
33 	6000	22	50000	4162	0	0.318182
38 	6000	22	50000	4402	0	0.409091
34 	8000	22	50000	4068	0	0.318182
30 	10000	22	50000	4171	0	0.227273
35 	10000	22	50000	3825	0	0.409091
41 	2000	22	50000	4446	0	0.363636
39 	8000	22	50000	3710	0	0.318182
42 	4000	22	50000	3795	0	0.363636
44 	8000	22	50000	3578	0	0.409091
43 	6000	22	50000	4522	0	0.272727
40 	10000	22	50000	3844	0	0.409091
45 	10000	22	50000	4376	0	0.409091
47 	4000	22	50000	3714	0	0.272727
51 	2000	22	50000	4065	0	0.363636
48 	6000	22	50000	4546	0	0.409091
49 	8000	22	50000	4000	0	0.409091
53 	6000	22	50000	4721	0	0.454545
46 	2000	22	50000	4318	0	0.0454545
#
1 	200	22	50000	450	0	0.0909091
2 	400	22	50000	667	0	0.0909091
4 	800	22	50000	510	0	0.318182
3 	600	22	50000	595	0	0.363636
11 	200	22	50000	191	0	0.318182
5 	1000	22	50000	619	0	0.363636
12 	400	22	50000	571	0	0.227273
7 	1400	22	50000	539	0	0.318182
6 	1200	22	50000	510	0	0.318182
8 	1600	22	50000	577	0	0.272727
13 	600	22	50000	701	0	0.454545
14 	800	22	50000	362	0	0.363636
9 	1800	22	50000	503	0	0.409091
15 	1000	22	50000	560	0	0
21 	200	22	50000	405	0	0
22 	400	22	50000	619	0	0.227273
17 	1400	22	50000	589	0	0.409091
23 	600	22	50000	658	0	0.409091
16 	1200	22	50000	636	0	0.272727
10 	2000	22	50000	579	0	0.272727
18 	1600	22	50000	582	0	0.409091
19 	1800	22	50000	661	0	0.409091
24 	800	22	50000	570	0	0.272727
31 	200	22	50000	163	0	0.318182
25 	1000	22	50000	596	0	0.272727
26 	1200	22	50000	616	0	0.409091
20 	2000	22	50000	561	0	0.272727
33 	600	22	50000	569	0	0.272727
32 	400	22	50000	585	0	0.136364
27 	1400	22	50000	556	0	0.272727
34 	800	22	50000	541	0	0.318182
35 	1000	22	50000	614	0	0.409091
28 	1600	22	50000	567	0	0.272727
29 	1800	22	50000	643	0	0.363636
41 	200	22	50000	268	0	0.272727
30 	2000	22	50000	628	0	0.409091
42 	400	22	50000	650	0	0.227273
37 	1400	22	50000	562	0	0.181818
36 	1200	22	50000	618	0	0.318182
43 	600	22	50000	546	0	0.227273
44 	800	22	50000	639	0	0.272727
38 	1600	22	50000	588	0	0.409091
45 	1000	22	50000	604	0	0.272727
40 	2000	22	50000	586	0	0.227273
39 	1800	22	50000	534	0	0.409091
46 	1200	22	50000	523	0	0.409091
47 	1400	22	50000	663	0	0.272727
51 	200	22	50000	626	0	0.136364
52 	400	22	50000	454	0	0.272727
48 	1600	22	50000	647	0	0.363636
53 	600	22	50000	508	0	0.181818
54 	800	22	50000	588	0	0.272727
49 	1800	22	50000	580	0	0.227273
#
1 	500	22	50000	404	0	0.227273
2 	1000	22	50000	612	0	0
5 	500	22	50000	612	0	0.409091
3 	1500	22	50000	552	0	0.272727
6 	1000	22	50000	543	0	0.272727
9 	500	22	50000	593	0	0.272727
4 	2000	22	50000	585	0	0.409091
7 	1500	22	50000	603	0	0.181818
10 	1000	22	50000	621	0	0.409091
8 	2000	22	50000	703	0	0.409091
13 	500	22	50000	325	0	0.409091
11 	1500	22	50000	370	0	0.227273
14 	1000	22	50000	552	0	0.409091
12 	2000	22	50000	634	0	0.409091

# -l1                = 0.0001
# -fincr             = 50
# -dl                = 0.0001

1 	500	22	50000	268	0	0.318182	data likelihood: 0.989901
3 	1500	22	50000	315	0	0.318182	data likelihood: 0.994654
2 	1000	22	50000	314	0	0	data likelihood: 0.992984
5 	500	22	50000	260	0	0.0909091	data likelihood: 0.99192
4 	2000	22	50000	341	0	0.0909091	data likelihood: 0.994744
6 	1000	22	50000	260	0	0.0454545	data likelihood: 0.993812
9 	500	22	50000	306	0	0.0454545	data likelihood: 0.990293
8 	2000	22	50000	330	0	0.454545	data likelihood: 0.995599
7 	1500	22	50000	308	0	0	data likelihood: 0.99335
10 	1000	22	50000	313	0	0.181818	data likelihood: 0.994133
11 	1500	22	50000	275	0	0.409091	data likelihood: 0.99296
14 	1000	22	50000	345	0	0.0909091	data likelihood: 0.992314
13 	500	22	50000	316	0	0.0454545	data likelihood: 0.989733
12 	2000	22	50000	348	0	0.363636	data likelihood: 0.996069
17 	500	22	50000	281	0	0	data likelihood: 0.991392
15 	1500	22	50000	379	0	0.227273	data likelihood: 0.995095
18 	1000	22	50000	300	0	0.318182	data likelihood: 0.991575
21 	500	22	50000	125	0	0.227273	data likelihood: 0.992392
16 	2000	22	50000	329	0	0.272727	data likelihood: 0.995186
19 	1500	22	50000	390	0	0.363636	data likelihood: 0.994149
22 	1000	22	50000	250	0	0.272727	data likelihood: 0.992314
20 	2000	22	50000	359	0	0	data likelihood: 0.995016
25 	500	22	50000	215	0	0.272727	data likelihood: 0.991545
23 	1500	22	50000	344	0	0.0909091	data likelihood: 0.995082
26 	1000	22	50000	369	0	0.227273	data likelihood: 0.993841
