Epsilon Discount MeanReward
0.1 0.9 0.215
0.1 0.9 0.212
0.1 0.9 0.212
0.1 0.9 0.213
0.1 0.9 0.209
0.1 0.9 0.215
0.1 0.9 0.213
0.1 0.9 0.215
0.1 0.9 0.212
0.1 0.9 0.214
0.1 0.9 0.211
0.1 0.9 0.219
0.1 0.9 0.205
0.1 0.9 0.215
0.1 0.9 0.214
0.1 0.9 0.21
0.1 0.9 0.211
0.1 0.9 0.213
0.1 0.9 0.215
0.1 0.9 0.213
0.1 0.9 0.211
0.1 0.9 0.212
0.1 0.9 0.219
0.1 0.9 0.211
0.1 0.9 0.213
0.1 0.9 0.214
0.1 0.9 0.217
0.1 0.9 0.214
0.1 0.9 0.213
0.1 0.9 0.214
0.1 0.9 0.211
0.1 0.9 0.216
0.1 0.9 0.213
0.1 0.9 0.212
0.1 0.9 0.212
0.1 0.9 0.214
0.1 0.9 0.212
0.1 0.9 0.211
0.1 0.9 0.21
0.1 0.9 0.208
0.1 0.9 0.216
0.1 0.9 0.215
0.1 0.9 0.216
0.1 0.9 0.212
0.1 0.9 0.207
0.1 0.9 0.217
0.1 0.9 0.207
0.1 0.9 0.213
0.1 0.9 0.211
0.1 0.9 0.219
0.1 0.9 0.216
0.1 0.9 0.21
0.1 0.9 0.211
0.1 0.9 0.209
0.1 0.9 0.211
0.1 0.9 0.21
0.1 0.9 0.215
0.1 0.9 0.217
0.1 0.9 0.215
0.1 0.9 0.21
0.1 0.9 0.214
0.1 0.9 0.214
0.1 0.9 0.216
0.1 0.9 0.21
0.1 0.9 0.215
0.1 0.9 0.208
0.1 0.9 0.21
0.1 0.9 0.215
0.1 0.9 0.212
0.1 0.9 0.216
0.1 0.9 0.21
0.1 0.9 0.211
0.1 0.9 0.212
0.1 0.9 0.211
0.1 0.9 0.215
0.1 0.9 0.214
0.1 0.9 0.211
0.1 0.9 0.212
0.1 0.9 0.213
0.1 0.9 0.212
0.1 0.9 0.211
0.1 0.9 0.211
0.1 0.9 0.207
0.1 0.9 0.212
0.1 0.9 0.213
0.1 0.9 0.209
0.1 0.9 0.215
0.1 0.9 0.215
0.1 0.9 0.211
0.1 0.9 0.215
0.1 0.9 0.209
0.1 0.9 0.213
0.1 0.9 0.216
0.1 0.9 0.212
0.1 0.9 0.211
0.1 0.9 0.21
0.1 0.9 0.21
0.1 0.9 0.214
0.1 0.9 0.217
0.1 0.9 0.212
0.1 0.9 0.218
0.1 0.9 0.213
0.1 0.9 0.213
0.1 0.9 0.214
0.1 0.9 0.214
0.1 0.9 0.207
0.1 0.9 0.211
0.1 0.9 0.216
0.1 0.9 0.209
0.1 0.9 0.204
0.1 0.9 0.211
0.1 0.9 0.215
0.1 0.9 0.211
0.1 0.9 0.216
0.1 0.9 0.212
0.1 0.9 0.217
0.1 0.9 0.214
0.1 0.9 0.207
0.1 0.9 0.213
0.1 0.9 0.215
0.1 0.9 0.213
0.1 0.9 0.209
0.1 0.9 0.213
0.1 0.9 0.212
0.1 0.9 0.215
0.1 0.9 0.213
0.1 0.9 0.208
0.1 0.9 0.214
0.1 0.9 0.212
0.1 0.9 0.211
0.1 0.9 0.215
0.1 0.9 0.208
0.1 0.9 0.212
0.1 0.9 0.212
0.1 0.9 0.216
0.1 0.9 0.216
0.1 0.9 0.21
0.1 0.9 0.215
0.1 0.9 0.208
0.1 0.9 0.21
0.1 0.9 0.216
0.1 0.9 0.211
0.1 0.9 0.211
0.1 0.9 0.212
0.1 0.9 0.215
0.1 0.9 0.21
0.1 0.9 0.214
0.1 0.9 0.218
0.1 0.9 0.214
0.1 0.9 0.217
0.1 0.9 0.213
0.1 0.9 0.214
0.1 0.9 0.209
0.1 0.9 0.208
0.1 0.9 0.211
0.1 0.9 0.211
0.1 0.9 0.211
0.1 0.9 0.209
0.1 0.9 0.211
0.1 0.9 0.215
0.1 0.9 0.215
0.1 0.9 0.215
0.1 0.9 0.219
0.1 0.9 0.217
0.1 0.9 0.211
0.1 0.9 0.215
0.1 0.9 0.213
0.1 0.9 0.209
0.1 0.9 0.213
0.1 0.9 0.213
0.1 0.9 0.213
0.1 0.9 0.209
0.1 0.9 0.211
0.1 0.9 0.212
0.1 0.9 0.211
0.1 0.9 0.216
0.1 0.9 0.216
