Epsilon Discount LearningLength TestLength L1Factor NumberOfFeatures MeanDataLikelihood MeanReward
0.1 0.9 10 1000 0 128 0.999768 0.013
0.1 0.9 10 1000 0.00125 22 0.999694 0.002
0.1 0.9 10 1000 0.0015625 22 0.999536 0
0.1 0.9 10 1000 0.00195312 22 0.999532 0.001
0.1 0.9 10 1000 0.00244141 19 0.999793 0
0.1 0.9 10 1000 0.00305176 18 0.999717 0.006
0.1 0.9 10 1000 0.0038147 18 0.999345 0.001
0.1 0.9 10 1000 0.00476837 18 0.999622 0
0.1 0.9 10 1000 0.00596046 17 0.999253 0.001
0.1 0.9 10 1000 0.00745058 16 0.999709 0.001
0.1 0.9 10 1000 0.00931323 16 0.999623 0.001
0.1 0.9 10 1000 0.0116415 16 0.999698 0
0.1 0.9 10 1000 0.0145519 15 0.999439 0
0.1 0.9 10 1000 0.0181899 15 0.999443 0.001
0.1 0.9 10 1000 0.0227374 14 0.999582 0
0.1 0.9 10 1000 0.0284217 14 0.998973 0
0.1 0.9 10 1000 0.0355271 13 0.999317 0
0.1 0.9 10 1000 0.0444089 13 0.99953 0.001
0.1 0.9 12 1000 0 146 0.999878 0.006
0.1 0.9 12 1000 0.00125 20 0.999794 0
0.1 0.9 12 1000 0.0015625 19 0.999774 0
0.1 0.9 12 1000 0.00195312 19 0.999833 0.002
0.1 0.9 12 1000 0.00244141 19 0.999803 0
0.1 0.9 12 1000 0.00305176 19 0.99975 0.002
0.1 0.9 12 1000 0.0038147 17 0.999671 0.002
0.1 0.9 12 1000 0.00476837 17 0.999785 0.001
0.1 0.9 12 1000 0.00596046 17 0.999731 0
0.1 0.9 12 1000 0.00745058 17 0.999667 0.002
0.1 0.9 12 1000 0.00931323 17 0.999789 0.001
0.1 0.9 12 1000 0.0116415 17 0.999737 0
0.1 0.9 12 1000 0.0145519 17 0.999677 0.001
0.1 0.9 12 1000 0.0181899 17 0.999604 0.001
0.1 0.9 12 1000 0.0227374 17 0.999758 0
0.1 0.9 12 1000 0.0284217 16 0.999539 0
0.1 0.9 12 1000 0.0355271 14 0.999376 0.001
0.1 0.9 12 1000 0.0444089 14 0.999852 0
0.1 0.9 15 1000 0 158 0.999793 0.001
0.1 0.9 15 1000 0.00125 33 0.999649 0
0.1 0.9 15 1000 0.0015625 32 0.999559 0.01
0.1 0.9 15 1000 0.00195312 31 0.999685 0
0.1 0.9 15 1000 0.00244141 31 0.999607 0.002
0.1 0.9 15 1000 0.00305176 31 0.999506 0
0.1 0.9 15 1000 0.0038147 31 0.999685 0.001
0.1 0.9 15 1000 0.00476837 30 0.999618 0.001
0.1 0.9 15 1000 0.00596046 29 0.999499 0.001
0.1 0.9 15 1000 0.00745058 29 0.999371 0
0.1 0.9 15 1000 0.00931323 29 0.999606 0.009
0.1 0.9 15 1000 0.0116415 28 0.999516 0.002
0.1 0.9 15 1000 0.0145519 28 0.99973 0.02
0.1 0.9 15 1000 0.0181899 28 0.999464 0.003
0.1 0.9 15 1000 0.0227374 26 0.999537 0.001
0.1 0.9 15 1000 0.0284217 23 0.999275 0
0.1 0.9 15 1000 0.0355271 21 0.999161 0.002
0.1 0.9 15 1000 0.0444089 19 0.99879 0.003
0.1 0.9 18 1000 0 164 0.999832 0
0.1 0.9 18 1000 0.00125 34 0.999392 0.002
0.1 0.9 18 1000 0.0015625 33 0.999587 0.001
0.1 0.9 18 1000 0.00195312 33 0.999491 0.001
0.1 0.9 18 1000 0.00244141 33 0.999665 0.004
0.1 0.9 18 1000 0.00305176 33 0.999579 0.007
0.1 0.9 18 1000 0.0038147 33 0.999482 0.002
0.1 0.9 18 1000 0.00476837 32 0.999657 0
0.1 0.9 18 1000 0.00596046 32 0.999633 0.002
0.1 0.9 18 1000 0.00745058 31 0.99951 0.012
0.1 0.9 18 1000 0.00931323 30 0.999372 0.002
0.1 0.9 18 1000 0.0116415 30 0.999555 0.006
0.1 0.9 18 1000 0.0145519 30 0.999434 0.001
0.1 0.9 18 1000 0.0181899 29 0.999558 0
0.1 0.9 18 1000 0.0227374 29 0.999516 0.003
0.1 0.9 18 1000 0.0284217 28 0.999226 0.017
0.1 0.9 18 1000 0.0355271 24 0.999816 0.006
0.1 0.9 18 1000 0.0444089 18 0.666365 0.014
0.1 0.9 22 1000 0 158 0.999823 0.004
0.1 0.9 22 1000 0.00125 29 0.999378 0.001
0.1 0.9 22 1000 0.0015625 27 0.999613 0
0.1 0.9 22 1000 0.00195312 27 0.99955 0.002
0.1 0.9 22 1000 0.00244141 27 0.999707 0.001
0.1 0.9 22 1000 0.00305176 27 0.999636 0
0.1 0.9 22 1000 0.0038147 26 0.999625 0
0.1 0.9 22 1000 0.00476837 25 0.999523 0.001
0.1 0.9 22 1000 0.00596046 24 0.999437 0.001
0.1 0.9 22 1000 0.00745058 23 0.999461 0
0.1 0.9 22 1000 0.00931323 22 0.999382 0.007
0.1 0.9 22 1000 0.0116415 22 0.999599 0.001
0.1 0.9 22 1000 0.0145519 22 0.999343 0.001
0.1 0.9 22 1000 0.0181899 20 0.999485 0.005
0.1 0.9 22 1000 0.0227374 19 0.999636 0.006
0.1 0.9 22 1000 0.0284217 19 0.999226 0.021
0.1 0.9 22 1000 0.0355271 18 0.999464 0.003
0.1 0.9 22 1000 0.0444089 18 0.999389 0.008
0.1 0.9 27 1000 0 152 0.999717 0.002
0.1 0.9 27 1000 0.00125 24 0.999627 0.003
0.1 0.9 27 1000 0.0015625 22 0.999436 0.001
0.1 0.9 27 1000 0.00195312 21 0.999545 0
0.1 0.9 27 1000 0.00244141 21 0.999479 0.001
0.1 0.9 27 1000 0.00305176 19 0.999418 0.001
0.1 0.9 27 1000 0.0038147 19 0.999277 0.002
0.1 0.9 27 1000 0.00476837 19 0.999665 0
0.1 0.9 27 1000 0.00596046 17 0.999406 0
0.1 0.9 27 1000 0.00745058 17 0.999274 0.001
0.1 0.9 27 1000 0.00931323 17 0.999104 0.001
0.1 0.9 27 1000 0.0116415 17 0.999589 0.001
0.1 0.9 27 1000 0.0145519 17 0.99977 0
0.1 0.9 27 1000 0.0181899 16 0.999483 0.001
0.1 0.9 27 1000 0.0227374 16 0.998908 0
0.1 0.9 27 1000 0.0284217 16 0.999631 0.001
0.1 0.9 27 1000 0.0355271 16 0.999651 0.001
0.1 0.9 27 1000 0.0444089 16 0.999591 0
0.1 0.9 33 1000 0 164 0.999782 0.003
0.1 0.9 33 1000 0.00125 46 0.999439 0.002
0.1 0.9 33 1000 0.0015625 46 0.999599 0.001
0.1 0.9 33 1000 0.00195312 45 0.999482 0
0.1 0.9 33 1000 0.00244141 44 0.999561 0.001
0.1 0.9 33 1000 0.00305176 43 0.999549 0.013
0.1 0.9 33 1000 0.0038147 43 0.999311 0.002
0.1 0.9 33 1000 0.00476837 42 0.999513 0
0.1 0.9 33 1000 0.00596046 38 0.99939 0.002
0.1 0.9 33 1000 0.00745058 36 0.999611 0.002
0.1 0.9 33 1000 0.00931323 35 0.999576 0
0.1 0.9 33 1000 0.0116415 35 0.999468 0
0.1 0.9 33 1000 0.0145519 30 0.999063 0.01
