# Maze size:               2x2
# strategy               = sparse
# epsilon                = 0
# discount               = 0.5
# episodes               = 1
# transitions            = 100
# min training length    = 10
# max training length    = 10000
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 10000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
1 	10	88	0	0
1 	21	124	0	0
1 	46	125	0	0
1 	858	169	0	0.25
1 	496	171	0	0.25
1 	112	172	0	0.25
1 	309	173	0	0.25
1 	555	170	0	0.25
1 	692	173	0	0.25
1 	620	175	0	0.25
1 	771	169	0	0.25
1 	349	175	0	0.25
1 	93	173	0	0.25
1 	156	174	0	0.25
1 	272	175	0	0.25
1 	209	173	0	0.25
1 	442	175	0	0.25
1 	181	174	0	0.25
1 	239	175	0	0.25
1 	33	172	0	0.25
1 	60	172	0	0.25
1 	76	171	0	0.25
1 	133	176	0	0.25
1 	393	174	0	0.25
1 	953	175	0	0.25
1 	1594	119	0	0.25
1 	1949	148	0	0.25
1 	1300	173	0	0.25
1 	1763	176	0	0.25
1 	2153	174	0	0.25
1 	1440	174	0	0.25
1 	1173	146	0	0.25
1 	1058	171	0	0.24
1 	2625	146	0	0.25
1 	2378	175	0	0.25
1 	2897	173	0	0.25
1 	3525	170	0	0.25
1 	3196	145	0	0.25
1 	5735	176	0	0.25
1 	3887	174	0	0.25
1 	5205	174	0	0.25
1 	4723	174	0	0.25
1 	6959	175	0	0.25
1 	4285	173	0	0.25
1 	8440	175	0	0.25
1 	7664	173	0	0.25
1 	6318	174	0	0.25
1 	9294	175	0	0.25
# Global mean reward 0.234167
