# Maze size:               2x2
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 4
#     reward           : 5
#     activation       : ON_RELEASE
# Reward 1
#     ACTIVATION_STATE : 3
#     RECEIVE_STATE    : 0
#     TIME_DELAY       : 4
#     reward           : 5
#     activation       : ON_RELEASE
# Reward 2
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 1
#     TIME_DELAY       : 1
#     reward           : 1
#     activation       : ON_RELEASE
# Reward 3
#     ACTIVATION_STATE : 3
#     RECEIVE_STATE    : 2
#     TIME_DELAY       : 1
#     reward           : 1
#     activation       : ON_RELEASE
# 
# 
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 100
# max training length    = 100000
# training length factor = 1.5
# L1 coefficient         = 0.0001
# max tree size          = 100000
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
16 	100	0	1	0.005
12 	100	0	3	0.005
11 	100	0	3	0
18 	100	0	1	0
13 	100	0	3	0.001
2 	100	0	1	0
24 	100	0	1	0
19 	100	0	1	0.005
6 	100	0	3	0
1 	100	0	3	0
7 	100	0	1	0
29 	100	0	3	0
10 	100	0	1	0.001
14 	100	0	1	0
25 	100	0	3	0
21 	100	0	3	0.005
5 	100	0	3	0
30 	100	0	1	0
33 	100	0	3	0
17 	100	0	3	0.001
34 	100	0	1	0.005
9 	100	0	1	0.001
22 	100	0	1	0
4 	100	0	3	0.005
3 	100	0	1	0.005
8 	100	0	1	0
31 	100	0	1	0
32 	100	0	3	0
43 	100	0	1	0
36 	100	0	3	0.167
15 	100	0	1	0
23 	100	0	1	0
27 	100	0	3	0
28 	100	0	1	0
42 	100	0	1	0
20 	100	0	3	0.25
38 	100	0	1	0.001
44 	100	0	1	0.001
54 	100	0	1	0.005
52 	100	0	1	0
47 	100	0	3	0
40 	100	0	5	0.001
48 	100	0	3	0.005
39 	100	0	3	0
58 	100	0	1	0.001
41 	100	0	1	0
26 	100	0	1	0
45 	100	0	1	0
49 	100	0	3	0.001
35 	100	0	3	0.001
46 	100	0	3	0
55 	100	0	3	0.005
53 	100	0	1	0.001
62 	100	0	1	0
56 	100	0	3	0.001
60 	100	0	1	0.001
67 	100	0	1	0
37 	100	0	3	0
50 	100	0	3	0.001
57 	100	0	1	0
59 	100	0	1	0
65 	100	0	3	0
51 	100	0	1	0
61 	100	0	1	0.005
78 	100	0	1	0
