# Maze size:               2x2
# strategy               = linear-q
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 10
# max training length    = 10000
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 10000
# feature complexity     = 3
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
1 	10	0	0	0.024
3 	10	0	0	0.017
14 	10	0	0	0.022
6 	10	0	0	0.018
12 	10	0	0	0.025
25 	10	0	0	0.014
7 	10	0	0	0.02
28 	10	0	0	0.024
2 	10	0	0	0.016
9 	10	0	0	0.025
20 	10	0	0	0.027
22 	10	0	0	0.021
19 	10	0	0	0.014
4 	10	0	0	0.016
11 	10	0	0	0.018
26 	10	0	0	0.024
15 	10	0	0	0.017
29 	10	0	0	0.024
27 	10	0	0	0.016
37 	10	0	0	0.024
21 	10	0	0	0.02
5 	10	0	0	0.02
23 	10	0	0	0.02
8 	10	0	0	0.018
34 	10	0	0	0.015
40 	10	0	0	0.02
17 	10	0	0	0.023
31 	10	0	0	0.021
36 	10	0	0	0.02
18 	10	0	0	0.017
32 	10	0	0	0.017
16 	10	0	0	0.019
35 	10	0	0	0.017
41 	10	0	0	0.019
43 	10	0	0	0.022
38 	10	0	0	0.023
46 	10	0	0	0.013
33 	10	0	0	0.02
48 	10	0	0	0.021
44 	10	0	0	0.025
49 	10	0	0	0.024
47 	10	0	0	0.018
45 	10	0	0	0.012
42 	10	0	0	0.018
56 	10	0	0	0.026
52 	10	0	0	0.021
57 	10	0	0	0.022
55 	10	0	0	0.02
51 	10	0	0	0.017
58 	10	0	0	0.018
68 	10	0	0	0.018
54 	10	0	0	0.016
65 	10	0	0	0.024
60 	10	0	0	0.031
62 	10	0	0	0.016
59 	10	0	0	0.023
67 	10	0	0	0.023
61 	10	0	0	0.018
64 	10	0	0	0.024
82 	10	0	0	0.017
69 	10	0	0	0.02
84 	10	0	0	0.023
75 	10	0	0	0.021
72 	10	0	0	0.027
63 	10	0	0	0.017
70 	10	0	0	0.015
66 	10	0	0	0.025
77 	10	0	0	0.02
53 	10	0	0	0.022
74 	10	0	0	0.022
87 	10	0	0	0.022
76 	10	0	0	0.018
88 	10	0	0	0.017
96 	10	0	0	0.023
90 	10	0	0	0.017
91 	10	0	0	0.02
78 	10	0	0	0.015
85 	10	0	0	0.018
93 	10	0	0	0.02
79 	10	0	0	0.023
97 	10	0	0	0.029
81 	10	0	0	0.015
94 	10	0	0	0.021
100 	10	0	0	0.02
89 	10	0	0	0.014
4 	21	0	0	0.027
5 	21	0	0	0.025
71 	10	0	0	0.02
3 	21	0	0	0.029
8 	21	0	0	0.012
99 	10	0	0	0.021
10 	21	0	0	0.015
6 	21	0	0	0.016
11 	21	0	0	0.027
12 	21	0	0	0.023
83 	10	0	0	0.026
14 	21	0	0	0.021
18 	21	0	0	0.018
7 	21	0	0	0.023
86 	10	0	0	0.021
23 	21	0	0	0.02
25 	21	0	0	0.017
73 	10	0	0	0
30 	10	0	0	0
10 	10	0	0	0
39 	10	0	0	0
30 	21	0	0	0.017
31 	21	0	0	0.017
21 	21	0	0	0
33 	21	0	0	0.024
95 	10	0	0	0
34 	21	0	0	0.016
13 	10	0	0	0
98 	10	0	0	0
24 	10	0	0	0
50 	10	0	0	0
92 	10	0	0	0
38 	21	0	0	0.022
40 	21	0	0	0.021
39 	21	0	0	0.028
42 	21	0	0	0.025
41 	21	0	0	0.023
44 	21	0	0	0.018
46 	21	0	0	0.021
45 	21	0	0	0.023
47 	21	0	0	0.022
80 	10	0	0	0
48 	21	0	0	0.022
51 	21	0	0	0.027
52 	21	0	0	0.017
54 	21	0	0	0.024
53 	21	0	0	0.017
56 	21	0	0	0.022
55 	21	0	0	0.022
57 	21	0	0	0.023
58 	21	0	0	0.019
59 	21	0	0	0.024
19 	21	0	0	0
60 	21	0	0	0.02
62 	21	0	0	0.017
63 	21	0	0	0.023
64 	21	0	0	0.02
17 	21	0	0	0.001
20 	21	0	0	0.001
68 	21	0	0	0.02
69 	21	0	0	0.013
70 	21	0	0	0.03
71 	21	0	0	0.024
72 	21	0	0	0.014
73 	21	0	0	0.021
74 	21	0	0	0.017
75 	21	0	0	0.018
76 	21	0	0	0.016
13 	21	0	0	0.001
77 	21	0	0	0.02
79 	21	0	0	0.022
80 	21	0	0	0.025
81 	21	0	0	0.022
82 	21	0	0	0.021
83 	21	0	0	0.023
22 	21	0	0	0
26 	21	0	0	0
85 	21	0	0	0.015
86 	21	0	0	0.025
88 	21	0	0	0.019
2 	21	0	0	0.2
16 	21	0	0	0
90 	21	0	0	0.017
91 	21	0	0	0.026
92 	21	0	0	0.021
93 	21	0	0	0.024
95 	21	0	0	0.025
9 	21	0	0	0
96 	21	0	0	0.021
97 	21	0	0	0.022
98 	21	0	0	0.023
99 	21	0	0	0.017
100 	21	0	0	0.019
1 	33	0	0	0.029
2 	33	0	0	0.016
3 	33	0	0	0.022
4 	33	0	0	0.02
1 	21	0	0	0
7 	33	0	0	0.013
15 	21	0	0	0
9 	33	0	0	0.021
24 	21	0	0	0
11 	33	0	0	0.021
27 	21	0	0	0
29 	21	0	0	0
14 	33	0	0	0.019
15 	33	0	0	0.026
32 	21	0	0	0.001
36 	21	0	0	0
17 	33	0	0	0.015
19 	33	0	0	0.025
28 	21	0	0	0
37 	21	0	0	0
22 	33	0	0	0.023
35 	21	0	0	0
23 	33	0	0	0.024
24 	33	0	0	0.024
66 	21	0	0	0
61 	21	0	0	0
49 	21	0	0	0
65 	21	0	0	0
43 	21	0	0	0
78 	21	0	0	0.001
31 	33	0	0	0.026
33 	33	0	0	0.017
67 	21	0	0	0.001
84 	21	0	0	0
36 	33	0	0	0.02
37 	33	0	0	0.018
38 	33	0	0	0.018
89 	21	0	0	0.25
50 	21	0	0	0
41 	33	0	0	0.015
42 	33	0	0	0.019
43 	33	0	0	0.011
44 	33	0	0	0.022
87 	21	0	0	0
5 	33	0	0	0.001
47 	33	0	0	0.015
48 	33	0	0	0.017
8 	33	0	0	0.001
50 	33	0	0	0.024
10 	33	0	0	0
52 	33	0	0	0.026
6 	33	0	0	0
