# Maze size:               2x2
# strategy               = random
# epsilon                = 0
# discount               = 0.5
# episodes               = 1000
# transitions            = 1000
# min training length    = 1
# max training length    = 1
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 100000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
11 	1	0	0	0.017
25 	1	0	0	0.023
10 	1	0	0	0.013
9 	1	0	0	0.024
28 	1	0	0	0.02
29 	1	0	0	0.023
19 	1	0	0	0.017
2 	1	0	0	0.02
4 	1	0	0	0.021
27 	1	0	0	0.026
8 	1	0	0	0.022
26 	1	0	0	0.016
32 	1	0	0	0.026
12 	1	0	0	0.02
36 	1	0	0	0.028
30 	1	0	0	0.021
1 	1	0	0	0.019
40 	1	0	0	0.017
20 	1	0	0	0.026
41 	1	0	0	0.018
22 	1	0	0	0.018
42 	1	0	0	0.019
15 	1	0	0	0.019
34 	1	0	0	0.024
45 	1	0	0	0.018
14 	1	0	0	0.019
3 	1	0	0	0.021
37 	1	0	0	0.022
16 	1	0	0	0.024
38 	1	0	0	0.013
52 	1	0	0	0.021
55 	1	0	0	0.02
44 	1	0	0	0.02
21 	1	0	0	0.021
5 	1	0	0	0.026
58 	1	0	0	0.023
59 	1	0	0	0.021
13 	1	0	0	0.018
35 	1	0	0	0.023
48 	1	0	0	0.021
63 	1	0	0	0.014
65 	1	0	0	0.026
18 	1	0	0	0.02
66 	1	0	0	0.018
50 	1	0	0	0.022
31 	1	0	0	0.023
39 	1	0	0	0.018
68 	1	0	0	0.017
70 	1	0	0	0.015
43 	1	0	0	0.022
33 	1	0	0	0.014
56 	1	0	0	0.016
74 	1	0	0	0.022
77 	1	0	0	0.023
53 	1	0	0	0.023
61 	1	0	0	0.019
51 	1	0	0	0.017
79 	1	0	0	0.025
80 	1	0	0	0.019
78 	1	0	0	0.021
60 	1	0	0	0.018
62 	1	0	0	0.019
73 	1	0	0	0.022
85 	1	0	0	0.017
84 	1	0	0	0.021
75 	1	0	0	0.017
49 	1	0	0	0.017
67 	1	0	0	0.019
91 	1	0	0	0.024
93 	1	0	0	0.018
94 	1	0	0	0.019
72 	1	0	0	0.023
83 	1	0	0	0.019
47 	1	0	0	0.014
86 	1	0	0	0.021
88 	1	0	0	0.018
98 	1	0	0	0.018
76 	1	0	0	0.019
57 	1	0	0	0.023
102 	1	0	0	0.017
104 	1	0	0	0.02
24 	1	0	0	0.017
105 	1	0	0	0.025
106 	1	0	0	0.015
