# Maze size:               2x2
# strategy               = sparse
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 239
# max training length    = 1000
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 10000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
16 	239	174	0	0.25
20 	239	170	0	0.25
21 	239	172	0	0.25
8 	239	174	0	0.25
19 	239	165	0	0.2
23 	239	175	0	0.25
1 	239	175	0	0.25
13 	239	174	0	0.25
15 	239	142	0	0.25
6 	239	176	0	0.25
14 	239	171	0	0.25
10 	239	173	0	0.25
3 	239	173	0	0.25
22 	239	173	0	0.25
18 	239	173	0	0.25
11 	239	171	0	0.25
24 	239	172	0	0.25
5 	239	175	0	0.25
17 	239	176	0	0.25
7 	239	174	0	0.25
2 	239	176	0	0.25
9 	239	175	0	0.25
4 	239	174	0	0.25
12 	239	176	0	0.25
25 	239	174	0	0.25
34 	239	166	0	0.25
31 	239	171	0	0.249
32 	239	174	0	0.25
35 	239	175	0	0.25
30 	239	173	0	0.25
33 	239	174	0	0.25
43 	239	173	0	0.25
27 	239	173	0	0.25
28 	239	169	0	0.25
26 	239	172	0	0.25
29 	239	175	0	0.25
39 	239	175	0	0.25
40 	239	173	0	0.25
36 	239	174	0	0.25
37 	239	172	0	0.25
44 	239	174	0	0.25
48 	239	175	0	0.25
38 	239	176	0	0.25
47 	239	175	0	0.25
42 	239	175	0	0.25
41 	239	176	0	0.001
45 	239	175	0	0.001
46 	239	176	0	0.25
51 	239	174	0	0.25
49 	239	171	0	0.25
52 	239	174	0	0.249
50 	239	175	0	0.25
53 	239	172	0	0.001
55 	239	168	0	0.25
54 	239	171	0	0.2
62 	239	172	0	0.25
63 	239	169	0	0.25
58 	239	175	0	0.25
56 	239	170	0	0.249
60 	239	169	0	0.25
64 	239	171	0	0.25
57 	239	175	0	0.25
69 	239	174	0	0.25
65 	239	173	0	0.25
61 	239	173	0	0.25
59 	239	175	0	0.25
71 	239	173	0	0.25
68 	239	175	0	0.25
67 	239	174	0	0.25
66 	239	171	0	0.25
70 	239	173	0	0.25
72 	239	173	0	0.25
74 	239	171	0	0.25
73 	239	176	0	0.25
79 	239	171	0	0.25
80 	239	174	0	0.25
83 	239	169	0	0.25
75 	239	174	0	0.25
86 	239	175	0	0.25
76 	239	172	0	0.25
78 	239	171	0	0.25
77 	239	174	0	0.25
91 	239	173	0	0.25
81 	239	173	0	0.25
82 	239	174	0	0.25
84 	239	173	0	0.25
88 	239	175	0	0.25
85 	239	175	0	0.25
87 	239	174	0	0.25
89 	239	172	0	0.25
90 	239	173	0	0.25
96 	239	175	0	0.25
93 	239	174	0	0.25
92 	239	173	0	0.25
94 	239	175	0	0.25
95 	239	174	0	0.25
97 	239	170	0	0.143
99 	239	148	0	0.25
98 	239	171	0	0.25
100 	239	175	0	0.25
6 	272	176	0	0.25
8 	272	175	0	0.25
1 	272	174	0	0.25
3 	272	175	0	0.25
2 	272	175	0	0.25
11 	272	172	0	0.25
5 	272	175	0	0.001
4 	272	175	0	0.25
7 	272	170	0	0.25
14 	272	174	0	0.25
16 	272	174	0	0.25
9 	272	173	0	0.25
10 	272	175	0	0.25
15 	272	175	0	0.25
12 	272	174	0	0.25
13 	272	173	0	0.25
18 	272	175	0	0.25
17 	272	176	0	0.25
19 	272	175	0	0.25
22 	272	170	0	0.25
20 	272	174	0	0.25
21 	272	176	0	0.25
26 	272	173	0	0.25
24 	272	171	0	0.25
25 	272	175	0	0.25
27 	272	173	0	0.25
28 	272	176	0	0.25
23 	272	175	0	0.25
32 	272	169	0	0.25
36 	272	173	0	0.25
29 	272	176	0	0.25
38 	272	176	0	0.25
35 	272	176	0	0.25
33 	272	173	0	0.25
31 	272	172	0	0.25
30 	272	176	0	0.25
40 	272	174	0	0.25
34 	272	175	0	0.25
42 	272	148	0	0.25
37 	272	174	0	0.25
41 	272	166	0	0.25
43 	272	175	0	0.25
39 	272	173	0	0.25
44 	272	175	0	0.25
45 	272	170	0	0.25
49 	272	175	0	0.25
48 	272	173	0	0.25
52 	272	170	0	0.25
47 	272	169	0	0.25
46 	272	175	0	0.249
51 	272	176	0	0.25
50 	272	173	0	0.25
59 	272	175	0	0.25
53 	272	174	0	0.25
54 	272	176	0	0.25
58 	272	176	0	0.25
55 	272	167	0	0.25
60 	272	170	0	0.25
57 	272	173	0	0.25
56 	272	173	0	0.25
65 	272	169	0	0.25
61 	272	171	0	0.25
68 	272	173	0	0.25
63 	272	171	0	0.25
64 	272	174	0	0.25
62 	272	176	0	0.25
66 	272	174	0	0.25
67 	272	176	0	0.25
69 	272	175	0	0.25
71 	272	173	0	0.25
70 	272	173	0	0.25
74 	272	176	0	0.25
76 	272	173	0	0.25
75 	272	174	0	0.25
72 	272	176	0	0.25
73 	272	173	0	0.25
80 	272	174	0	0.25
78 	272	171	0	0.25
77 	272	174	0	0.25
79 	272	176	0	0.25
89 	272	169	0	0.25
86 	272	175	0	0.25
82 	272	170	0	0.25
85 	272	176	0	0.25
83 	272	175	0	0.25
81 	272	176	0	0.25
84 	272	175	0	0.25
88 	272	176	0	0.25
87 	272	175	0	0.25
92 	272	169	0	0.25
91 	272	176	0	0.25
90 	272	173	0	0.25
95 	272	172	0	0.25
100 	272	170	0	0.25
93 	272	175	0	0.25
94 	272	174	0	0.25
97 	272	174	0	0.25
96 	272	172	0	0.25
99 	272	176	0	0.25
1 	309	175	0	0.25
98 	272	174	0	0.25
2 	309	174	0	0.25
3 	309	174	0	0.25
7 	309	175	0	0.25
9 	309	174	0	0.25
12 	309	174	0	0.25
4 	309	174	0	0.25
11 	309	170	0	0.25
5 	309	176	0	0.25
15 	309	172	0	0.25
8 	309	174	0	0.25
6 	309	176	0	0.25
10 	309	171	0	0.25
13 	309	171	0	0.249
14 	309	175	0	0.25
16 	309	174	0	0.25
18 	309	171	0	0.25
23 	309	173	0	0.25
19 	309	174	0	0.25
17 	309	175	0	0.25
22 	309	173	0	0.25
20 	309	175	0	0.25
21 	309	176	0	0.25
27 	309	170	0	0.25
24 	309	175	0	0.25
25 	309	171	0	0.25
28 	309	169	0	0.25
30 	309	170	0	0.25
26 	309	175	0	0.25
34 	309	170	0	0.25
31 	309	174	0	0.25
32 	309	173	0	0.25
37 	309	173	0	0.249
29 	309	169	0	0.25
36 	309	176	0	0.25
33 	309	169	0	0.2
39 	309	175	0	0.25
35 	309	175	0	0.25
40 	309	173	0	0.25
38 	309	175	0	0.25
41 	309	174	0	0.25
45 	309	169	0	0.25
44 	309	176	0	0.25
47 	309	171	0	0.25
42 	309	173	0	0
43 	309	173	0	0.25
51 	309	176	0	0.25
46 	309	175	0	0.25
50 	309	175	0	0.25
52 	309	174	0	0.25
48 	309	173	0	0.25
55 	309	173	0	0.25
49 	309	176	0	0.25
54 	309	176	0	0.25
57 	309	175	0	0.25
53 	309	175	0	0.25
62 	309	174	0	0.25
58 	309	171	0	0.25
56 	309	176	0	0.25
59 	309	176	0	0.25
60 	309	175	0	0.25
64 	309	173	0	0.25
63 	309	175	0	0.25
61 	309	176	0	0.25
70 	309	170	0	0.25
69 	309	175	0	0.25
65 	309	175	0	0.25
67 	309	174	0	0.25
66 	309	173	0	0.25
71 	309	170	0	0.25
68 	309	173	0	0.25
72 	309	170	0	0.25
73 	309	176	0	0.25
74 	309	175	0	0.25
76 	309	172	0	0.25
75 	309	174	0	0.25
77 	309	174	0	0.25
78 	309	174	0	0.25
82 	309	173	0	0.25
85 	309	175	0	0.25
86 	309	174	0	0.25
83 	309	172	0	0.25
80 	309	174	0	0.25
79 	309	174	0	0.25
81 	309	175	0	0.25
84 	309	176	0	0.25
87 	309	174	0	0.25
88 	309	176	0	0.25
89 	309	176	0	0.25
93 	309	172	0	0.25
94 	309	175	0	0.25
90 	309	174	0	0.25
91 	309	174	0	0.25
92 	309	174	0	0.25
95 	309	176	0	0.25
96 	309	174	0	0.25
3 	349	176	0	0.25
100 	309	171	0	0.25
98 	309	173	0	0.25
97 	309	175	0	0.25
99 	309	175	0	0.167
9 	349	174	0	0.25
5 	349	175	0	0.25
2 	349	172	0	0.25
1 	349	176	0	0.25
4 	349	172	0	0.25
6 	349	175	0	0.25
11 	349	173	0	0.25
7 	349	174	0	0.25
8 	349	175	0	0.25
12 	349	173	0	0.25
10 	349	172	0	0.25
14 	349	173	0	0.25
13 	349	173	0	0.25
15 	349	174	0	0.25
16 	349	173	0	0.25
17 	349	172	0	0.25
19 	349	173	0	0.25
18 	349	176	0	0.25
27 	349	171	0	0.25
20 	349	175	0	0.25
28 	349	172	0	0.25
21 	349	172	0	0.25
22 	349	175	0	0.25
23 	349	174	0	0.25
33 	349	169	0	0.25
24 	349	170	0	0.25
25 	349	174	0	0.25
31 	349	171	0	0.25
32 	349	170	0	0.25
26 	349	176	0	0.25
29 	349	176	0	0.25
30 	349	175	0	0.25
35 	349	166	0	0.25
34 	349	172	0	0.25
36 	349	171	0	0.249
37 	349	173	0	0.25
38 	349	176	0	0.25
40 	349	174	0	0.25
42 	349	173	0	0.25
39 	349	175	0	0.25
41 	349	174	0	0.25
45 	349	173	0	0.25
44 	349	171	0	0.25
50 	349	170	0	0.25
51 	349	175	0	0.25
43 	349	172	0	0.25
53 	349	174	0	0.25
46 	349	174	0	0.25
52 	349	173	0	0.25
56 	349	167	0	0.25
54 	349	176	0	0.25
49 	349	171	0	0.25
48 	349	174	0	0.25
55 	349	174	0	0.25
47 	349	176	0	0.25
57 	349	169	0	0.25
59 	349	173	0	0.25
58 	349	174	0	0.25
62 	349	176	0	0.25
64 	349	174	0	0.25
66 	349	174	0	0.25
60 	349	173	0	0.25
63 	349	172	0	0.25
