# Maze size:               2x2
# strategy               = utree-prob
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 4285
# max training length    = 4285
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 100000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
8 	4285	0	113	0.25
9 	4285	0	119	0.25
17 	4285	0	111	0.25
16 	4285	0	115	0.25
22 	4285	0	115	0.25
20 	4285	0	115	0.167
3 	4285	0	115	0.25
19 	4285	0	117	0.25
12 	4285	0	117	0.2
14 	4285	0	117	0.25
24 	4285	0	115	0.25
4 	4285	0	113	0.25
5 	4285	0	113	0.25
7 	4285	0	117	0.25
10 	4285	0	111	0.25
15 	4285	0	119	0.25
23 	4285	0	111	0.25
18 	4285	0	117	0.25
2 	4285	0	113	0.25
21 	4285	0	115	0.25
11 	4285	0	113	0.25
6 	4285	0	121	0.167
13 	4285	0	109	0.25
25 	4285	0	111	0.167
1 	4285	0	119	0.167
28 	4285	0	109	0.25
27 	4285	0	113	0.25
30 	4285	0	117	0.2
33 	4285	0	119	0.25
34 	4285	0	113	0.25
35 	4285	0	115	0.2
36 	4285	0	123	0.25
31 	4285	0	115	0.25
44 	4285	0	113	0.25
38 	4285	0	113	0.25
42 	4285	0	111	0.25
48 	4285	0	117	0.25
41 	4285	0	115	0.25
45 	4285	0	121	0.25
29 	4285	0	117	0.25
32 	4285	0	115	0.25
39 	4285	0	117	0.2
43 	4285	0	109	0.25
47 	4285	0	115	0.25
37 	4285	0	111	0.25
49 	4285	0	117	0.25
40 	4285	0	113	0.25
26 	4285	0	121	0.25
51 	4285	0	115	0.25
52 	4285	0	117	0.25
54 	4285	0	121	0.25
46 	4285	0	113	0.25
55 	4285	0	119	0.167
59 	4285	0	117	0.25
56 	4285	0	117	0.25
57 	4285	0	113	0.25
68 	4285	0	119	0.25
61 	4285	0	113	0.25
53 	4285	0	117	0.25
70 	4285	0	119	0.25
60 	4285	0	119	0.25
65 	4285	0	111	0.25
74 	4285	0	117	0.25
63 	4285	0	113	0.25
64 	4285	0	113	0.167
69 	4285	0	115	0.25
62 	4285	0	109	0.25
75 	4285	0	119	0.25
66 	4285	0	113	0.25
50 	4285	0	113	0.25
73 	4285	0	113	0.25
71 	4285	0	115	0.2
72 	4285	0	117	0.167
58 	4285	0	115	0.167
83 	4285	0	115	0.25
80 	4285	0	109	0.25
79 	4285	0	113	0.25
67 	4285	0	117	0.25
77 	4285	0	111	0.25
81 	4285	0	117	0.25
76 	4285	0	113	0.25
78 	4285	0	119	0.25
84 	4285	0	113	0.25
85 	4285	0	115	0.25
86 	4285	0	115	0.25
88 	4285	0	121	0.25
90 	4285	0	113	0.25
91 	4285	0	117	0.25
82 	4285	0	117	0.25
93 	4285	0	115	0.25
100 	4285	0	119	0.25
92 	4285	0	117	0.25
94 	4285	0	107	0.25
95 	4285	0	109	0.25
97 	4285	0	113	0.25
96 	4285	0	115	0.25
99 	4285	0	117	0.25
87 	4285	0	113	0.25
89 	4285	0	117	0.25
98 	4285	0	113	0.25
# Global mean reward 0.24086
