# Maze size:               2x2
# strategy               = utree-value
# epsilon                = 0
# discount               = 0.5
# episodes               = 100
# transitions            = 1000
# min training length    = 10
# max training length    = 10000
# training length factor = 1.1
# training length incr.  = 10
# L1 coefficient         = 0.0001
# max tree size          = 10000
# feature complexity     = 2
# 
# Reward 0
#     ACTIVATION_STATE : 0
#     RECEIVE_STATE    : 3
#     TIME_DELAY       : 2
#     reward           : 1
#     activation       : EACH_TIME
# 
# 
# 
# Episode	training_length	feature_n	utree_size	episode_mean_reward
# 
4 	10	0	1	0
15 	10	0	1	0
17 	10	0	1	0
20 	10	0	1	0
25 	10	0	1	0
1 	10	0	1	0
12 	10	0	1	0
27 	10	0	1	0
5 	10	0	1	0
29 	10	0	1	0
6 	10	0	1	0
21 	10	0	1	0
34 	10	0	1	0
36 	10	0	1	0
35 	10	0	1	0
9 	10	0	1	0
40 	10	0	1	0
39 	10	0	1	0
30 	10	0	1	0
8 	10	0	1	0
44 	10	0	1	0
45 	10	0	1	0
16 	10	0	1	0
47 	10	0	1	0
26 	10	0	1	0
48 	10	0	1	0
18 	10	0	1	0
7 	10	0	1	0
46 	10	0	1	0
28 	10	0	1	0
19 	10	0	1	0
54 	10	0	1	0
55 	10	0	1	0
3 	10	0	1	0
56 	10	0	1	0
23 	10	0	1	0
33 	10	0	1	0
60 	10	0	1	0
31 	10	0	1	0
10 	10	0	1	0
14 	10	0	1	0
64 	10	0	1	0
49 	10	0	1	0
37 	10	0	1	0
24 	10	0	1	0
11 	10	0	1	0
58 	10	0	1	0
70 	10	0	1	0
2 	10	0	1	0
66 	10	0	1	0
73 	10	0	1	0
74 	10	0	1	0
41 	10	0	1	0
13 	10	0	1	0
52 	10	0	1	0
78 	10	0	1	0
32 	10	0	1	0
76 	10	0	1	0
81 	10	0	1	0
63 	10	0	1	0
51 	10	0	1	0
67 	10	0	1	0
57 	10	0	1	0
86 	10	0	1	0
42 	10	0	1	0
22 	10	0	1	0
90 	10	0	1	0
89 	10	0	1	0
69 	10	0	1	0
38 	10	0	1	0
93 	10	0	1	0
91 	10	0	1	0
96 	10	0	1	0
53 	10	0	1	0
95 	10	0	1	0
98 	10	0	1	0
94 	10	0	1	0
97 	10	0	1	0
1 	21	0	1	0
72 	10	0	1	0
2 	21	0	1	0
3 	21	0	1	0
4 	21	0	1	0
79 	10	0	1	0
61 	10	0	1	0
8 	21	0	1	0
59 	10	0	1	0
9 	21	0	1	0
5 	21	0	1	0
6 	21	0	1	0
84 	10	0	1	0
11 	21	0	1	0
14 	21	0	1	0
12 	21	0	1	0
75 	10	0	1	0
85 	10	0	1	0
15 	21	0	1	0
10 	21	0	1	0
92 	10	0	1	0
17 	21	0	1	0
100 	10	0	1	0
19 	21	0	1	0
16 	21	0	1	0
18 	21	0	1	0
82 	10	0	1	0
24 	21	0	1	0
83 	10	0	1	0
13 	21	0	1	0
29 	21	0	1	0
22 	21	0	1	0
68 	10	0	1	0
28 	21	0	1	0
62 	10	0	1	0
25 	21	0	1	0
36 	21	0	1	0
99 	10	0	1	0
20 	21	0	1	0
37 	21	0	1	0
33 	21	0	1	0
30 	21	0	1	0
71 	10	0	1	0
23 	21	0	1	0
41 	21	0	1	0
87 	10	0	1	0
31 	21	0	1	0
77 	10	0	1	0
50 	10	0	1	0
43 	10	0	1	0
27 	21	0	1	0
35 	21	0	1	0
46 	21	0	1	0
44 	21	0	1	0
50 	21	0	1	0
38 	21	0	1	0
21 	21	0	1	0
49 	21	0	1	0
56 	21	0	1	0
54 	21	0	1	0
80 	10	0	1	0
32 	21	0	1	0
55 	21	0	1	0
26 	21	0	1	0
57 	21	0	1	0
62 	21	0	1	0
39 	21	0	1	0
51 	21	0	1	0
7 	21	0	1	0
48 	21	0	1	0
