# epsilon discount mean_reward
0.86 0.9 0.02324
0.34 0.9 0.13841
0.3 0.9 0.15083
0.93 0.9 0.0266
0.41 0.9 0.11742
0.48 0.9 0.09643
0.55 0.9 0.07618
0.02 0.9 0.24297
0.62 0.9 0.05851
0.09 0.9 0.21853
0.69 0.9 0.0424
0.76 0.9 0.02735
0.23 0.9 0.17233
0.82 0.9 0.02086
0.89 0.9 0.02446
0.37 0.9 0.12886
0.96 0.9 0.02918
0.44 0.9 0.10836
0.51 0.9 0.088
0.05 0.9 0.2325
0.12 0.9 0.20866
0.19 0.9 0.18655
0.79 0.9 0.02179
0.85 0.9 0.02272
0.26 0.9 0.16405
0.4 0.9 0.11982
0.47 0.9 0.099
0.54 0.9 0.07926
0.01 0.9 0.24654
0.5 0.9 0.09004
0.57 0.9 0.07155
0.64 0.9 0.05385
0.78 0.9 0.0237
0.84 0.9 0.02192
0.91 0.9 0.02544
0.39 0.9 0.12288
0.98 0.9 0.02976
0.46 0.9 0.10189
0.53 0.9 0.08214
0.6 0.9 0.06359
0.07 0.9 0.22583
0.21 0.9 0.17985
0.28 0.9 0.15711
0.94 0.9 0.02783
0.42 0.9 0.11385
0.03 0.9 0.2394
0.58 0.9 0.0695
0.17 0.9 0.1927
0.24 0.9 0.16952
0.9 0.9 0.0257
0.31 0.9 0.14727
0.97 0.9 0.02912
0.65 0.9 0.05162
0.59 0.9 0.06574
0.66 0.9 0.04917
0.13 0.9 0.20577
0.2 0.9 0.18279
0.8 0.9 0.0201
0.27 0.9 0.16037
0.72 0.9 0.03552
0.33 0.9 0.14148
0.92 0.9 0.02646
0.99 0.9 0.03028
0.61 0.9 0.0611
0.15 0.9 0.19951
0.08 0.9 0.22236
0.68 0.9 0.0448
0.75 0.9 0.02888
0.22 0.9 0.17598
0.29 0.9 0.15408
0.88 0.9 0.02441
0.36 0.9 0.13212
0.43 0.9 0.1113
0.95 0.9 0.02903
0.04 0.9 0.23572
0.11 0.9 0.21287
0.71 0.9 0.03802
0.18 0.9 0.18954
0.25 0.9 0.16614
0.32 0.9 0.14486
0.67 0.9 0.04682
0.16 0.9 0.19593
0.14 0.9 0.20217
0.74 0.9 0.03084
0.81 0.9 0.0206
0.87 0.9 0.02381
0.35 0.9 0.13517
0.49 0.9 0.09261
0.56 0.9 0.07339
0.63 0.9 0.05715
0.1 0.9 0.21605
0.7 0.9 0.0407
0.77 0.9 0.02532
0.83 0.9 0.02127
0.38 0.9 0.12611
0.45 0.9 0.10474
0.52 0.9 0.08487
0.06 0.9 0.2291
0.73 0.9 0.03326
